,year,month,component,question number,answer,screenshot_path,ms_path,marks,topic,text
0,2016,m,22,1,B,screenshots/2016/march/component22/q1,,,,1  Two gas jars are set up as shown. air lid brown gas 2 jar 1 jar 2 jar 1 jar 2 before after The lid is removed and the gas jars are left to stand. After some time the contents of both gas jars are brown. Which process causes this to happen? A  condensation B  diffusion C  evaporation D filtration
1,2016,m,22,2,C,screenshots/2016/march/component22/q2,,,2 Experimental techniques,2  Which piece of apparatus is used to measure variable quantities of liquid in a titration? A B C D
2,2016,m,22,3,A,screenshots/2016/march/component22/q3,,,2 Experimental techniques,3  A  sample  of  a  green  food  colouring  was  separated  into  its  component  colours  using  paper 3 chromatography. The results obtained are shown. solvent front yellow spot blue spot baseline What is the Rf value of the blue spot? A  0.45 B  0.90 C  1.10 D  2.20
3,2016,m,22,4,C,screenshots/2016/march/component22/q4,,,,4  In which row are the substances correctly classified? 4 A B C D element compound  mixture brass sulfur sulfur water sulfur brass water sulfur water water brass brass
4,2016,m,22,5,A,screenshots/2016/march/component22/q5,,,,5  Which molecule contains only single covalent bonds? A  Cl 2 B  CO2 C  N2 D  O2 [Turn over
5,2016,m,22,6,B,screenshots/2016/march/component22/q6,,,,6  Which structure represents the sodium chloride lattice? A 4 Na– Cl + Na– Cl + Cl + Na– Cl + Na– Na– Cl + Na– Cl + Cl + Na– Cl + Na– C – + – + + – + – + – + – – + – +
6,2016,m,22,7,C,screenshots/2016/march/component22/q7,,,"3 Atoms, elements and compounds",7  X and Y are isotopes of the same element. Which statement is correct? + – + – – + – + – + – + + – + – B D – – – – + + – + + – – + – – + + – – – + + – – + + + – – – + – – – – + – – + + – – A  X and Y have atoms with different numbers of electron shells. B  X and Y have atoms with the same nucleon number. C  X and Y have atoms with the same number of outer shell electrons. D  X and Y have different chemical properties.
7,2016,m,22,8,D,screenshots/2016/march/component22/q8,,,,8  Which quantities of chemicals will react exactly with no reactants left over? A  12 g of carbon and 12 g of oxygen B  12 g of carbon and 48 g of oxygen C  12 g of magnesium and 16 g of oxygen D  24 g of magnesium and 16 g of oxygen
8,2016,m,22,9,D,screenshots/2016/march/component22/q9,,,,9  Magnesium  nitride  is  formed  when  magnesium  burns  in  air.  Magnesium  nitride  is  an  ionic 5 compound. What is the formula of magnesium nitride? A  MgN2 B  Mg2N2 C  Mg2N3 D  Mg3N2
9,2016,m,22,10,B,screenshots/2016/march/component22/q10,,,,10  The electrolysis of concentrated hydrochloric acid is shown. chlorine hydrogen concentrated hydrochloric acid + – platinum electrodes Which statement describes what happens to the electrons during the electrolysis? A  They are added to chloride ions. B  They are added to hydrogen ions. C  They move through the circuit from positive to negative. D  They move through the solution from negative to positive.
10,2016,m,22,11,B,screenshots/2016/march/component22/q11,,,,11  Which reaction does not occur in the extraction of aluminium? A  Al 3+  +  3e–  →  Al B  2Al 2O3  +  3C  →  4Al  +  3CO2 C  2O2–  →  O2  +  4e– D  C  +  O2  →  CO2
